duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,service_IRC,service_X11,service_Z39_50,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_hostnames,service_http,service_http_443,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_OTH,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,service_http_8001,service_http_2784,service_urh_i,service_aol,service_harvest,service_red_i,y_actual,y_pred
163.0,-162000.0,-255698.0,-0.0,0.0,-0.0,2.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385726313303997,0.0009971053995665284,0.03766125650571735,0.037034234817399564,0.978772072753782,0.018479855208790148,0.006694630686349411,193.0,-42.0,-0.19073185083333258,0.09317392538575729,0.04916845856665664,-0.0018157904877432803,0.002984649289411728,0.0013013569570417835,0.032746700352159236,0.03449315486777023,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
5601.0,-101707.0,2603796.0,-0.0,0.0,-0.0,2.0,1.0,1.0,14.0,-0.0,-0.0,3.0,4.0,-0.0,1.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385724875591834,0.0009971051916166783,0.03766127917704191,0.03703423477428124,0.9787720726283048,0.018479858571477194,0.006694648273067333,258.0,139.0,0.9900000013255702,0.05683045966413407,0.06013856091727481,-0.0018157902713715334,0.6597246654922314,1.4573246188191182,0.06042568814882119,0.04986572154399812,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
85.0,-162035.0,-255155.0,-0.0,0.0,-0.0,2.0,1.0,1.0,-0.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,0.0,1.0,-0.0,-1.0,0.0,0.0027385713868589103,0.0009971051686456967,0.03766123883267488,0.03703421158703182,0.9787720600918505,0.018479851791453433,0.006694576148568993,-1.0,-42.0,0.18459263288331842,1.2379930906074497,0.4796801009920999,-0.0018157903509108014,0.0029846410293180602,0.0013013373607632188,0.032746697443021534,0.03449313474564833,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
163.0,-106885.0,2523255.0,-0.0,0.0,2.0,3.0,-0.0,1.0,23.0,1.0,-0.0,2.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385795572768628,0.0009971049180061626,0.037661256406653666,0.037034234558747915,0.9787720724416797,0.018479859871253952,0.00500000054970824,93.0,63.0,0.9900000264862557,0.00999981301368675,0.9950003342583319,0.03783174495579246,0.002984649197950297,0.0013013533050116209,0.2680180964793687,0.8338675073621551,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
28.0,-162567.0,-305589.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,4.0,1.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385717618776018,0.0009971042897042627,0.03766120110332547,0.03703426194742741,0.9787720666123048,0.01847984416441992,0.006694589972268539,258.0,14.0,0.032117060274502326,0.005000001429656873,0.8750013958428652,-0.001815790434266181,0.22560838169849584,0.0013013528903609796,0.06042568816027512,0.034493085712865544,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
75.0,-162372.0,-255232.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,-0.0,-1.0,-0.0,0.002738591910478255,0.0009971051368244054,0.03766123842137574,0.0370342189270329,0.978772069919811,0.018479858440155532,0.0066945769409044445,-1.0,-42.0,0.18459263287313943,1.2379930660789158,0.4796800930468636,-0.0018157975381871585,0.0029846492367610142,0.0013013578486802341,0.03274667728101155,0.03449314422445377,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
93.0,-161858.0,-184468.0,-0.0,0.0,-0.0,6.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385726460447853,0.0009971044399594664,0.03766125644601103,0.03703423475301353,0.9787720723991836,0.018479859693360173,0.006694648774151,258.0,137.0,0.5481882971711401,0.009999953989058084,0.9950002551155878,-0.0018157902874824609,0.0029846487145521253,0.017301611864217168,0.0049998471491619345,0.4034351637392516,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
105.0,-161273.0,-263612.0,-0.0,0.0,-0.0,3.0,-0.0,1.0,-1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,-0.0,-1.0,-0.0,0.002738572621779257,0.0009971051027712224,0.03766123840143296,0.03703421893139374,0.9787720727187,0.018479798690933934,0.006694629460312307,-3.0,-42.0,0.9704282706775998,0.020486984787416892,1.3810638101697255,-0.0018157902776281608,0.0029846490025572563,0.0013013605349415538,0.03274670032630512,0.034493144206501763,0.0,1.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
28.0,-125452.0,-305589.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-1.0,1.0,-0.0,0.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385717089351566,0.000997123379963013,0.037661256488310556,0.03703423479981251,0.9787720727249509,0.01847985513614715,0.006694648754548373,-0.0,-41.0,0.3839837648526241,0.9290736273007367,0.70838939889389,-0.0018157902005860392,0.002984647935499394,0.001301357770963824,0.032746700331877814,0.03449315487790597,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
210.0,-98285.0,1667029.0,-0.0,0.0,2.0,6.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,3.0,-0.0,-0.0,0.0,0.0,-0.0,-1.0,-0.0,0.0027385663003561722,0.0009970977539657516,0.037661256277708464,0.037034234627265836,0.9787720728133787,0.01847985965777076,0.006694648491975988,2.0,-39.0,0.5833748808896104,0.6201541773231203,0.26442427357388615,-0.0018157901911500613,0.002984638912139619,0.0013013578606443415,0.03274670027493795,0.03449315494077036,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
150.0,-161822.0,-266483.0,-0.0,0.0,-0.0,2.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-1.0,-0.0,0.0027385708963526163,0.0009971039057671215,0.0376612565057159,0.03703423481754832,0.9787720682997865,0.018479855230493704,0.006694630687736493,200.0,-41.0,-0.19073185084089406,0.09317392538579755,0.04916845856764358,-0.0018157902828449218,0.0029846487709183703,0.0013013577694928023,0.032746700352157695,0.03449315486865855,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,1
28.0,29481.0,-305589.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,2.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,0.0,-0.0,0.0,-1.0,1.0,0.0027385554737706565,0.0009970850099915744,0.037661212492129,0.03703423247906437,0.9787720727628865,0.018479859685231564,1.1574695493311444,-1.0,-42.0,0.18459261791692988,1.2379930929710077,0.4796800850066775,-0.0018157776901488252,0.002984649207879876,0.0013013579493700493,0.03274669792253101,0.034493151453355714,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
43.0,-162957.0,-279829.0,-0.0,0.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,2.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385729974134312,0.0009971052312400658,0.03766124500950425,0.03703423462875488,0.9787720705475667,0.018479857801106805,0.006694648747047566,94.0,-42.0,-0.19073185650157073,0.02499758627771194,0.9950003342583319,-0.0018157901599720214,0.004999999835407342,0.0013013565491131157,0.005000000559948538,0.03449315472363086,0.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
43.0,-163737.0,-290148.0,-0.0,0.0,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.002738559668084674,0.000997104429091999,0.03766125650076728,0.03703423481730221,0.978772072753465,0.01847985525655466,0.00669465769267405,22.0,-22.0,0.6889349078915352,0.23854776694306576,0.08952892429911302,-0.0018158110178949597,0.0029846492453777323,0.0013013578190377755,0.032746700349208846,0.034493083430937675,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
80.0,-162283.0,-261207.0,0.0,0.0,-0.0,2.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,-1.0,-0.0,0.0027385726423765563,0.000997103140416387,0.037661256500811494,0.03703423481473387,0.9787720727385043,0.018479859676593147,0.006694648769292796,14.0,-42.0,-0.13208740026970026,0.3294064521315318,0.11643590864794075,-0.0018157904654358009,0.002984647845216303,0.0013013212086538757,0.03274670032589228,0.03449315489155217,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
30.0,-162549.0,-200297.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,2.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385403822724388,0.0009971052405753841,0.037661256503234646,0.0370342348123054,0.9787720727493675,0.018479924152956496,0.006694648770516636,23.0,-41.0,-0.10862962928313759,0.23854777996998158,0.0895289353658331,-0.0018157905453891313,0.0029846199984899222,0.0013013562343200595,0.03274670035203426,0.03449315489227825,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
200.0,-121036.0,17004771.0,-0.0,0.0,-0.0,3.0,-0.0,1.0,33.0,1.0,-0.0,29.0,1.0,1.0,1.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385713068017047,0.000997149581273756,0.03766125648825266,0.03703423479972104,0.9787720610360386,0.01847985577708134,0.004999986623771351,119.0,-12.0,0.9550074595690269,0.07500218490350687,0.049168458548450915,-0.0018158108831427871,0.0029846498596035726,0.0013013565468490466,0.03274675205634326,0.03449315487975272,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
28.0,4864774.0,-305589.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,2.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385726372917054,0.0009970860579834944,0.03766125089829331,0.037034714584196576,0.978772068455602,0.018479859401303127,0.006694646761084181,10.0,-7.0,0.3839836696359702,0.29306298644191053,0.7083893980620874,0.004999980642771773,0.28500003004947116,0.0013013577487541528,0.1019441665875212,0.03449315490961548,0.0,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
251.0,-98125.0,1828963.0,-0.0,0.0,2.0,3.0,-0.0,1.0,21.0,1.0,-0.0,2.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-1.0,-0.0,0.002738572690476497,0.0009971108043902062,0.0376612554350341,0.03703423121576779,0.9787720723918881,0.030000023817777322,0.005000000540541125,-0.0,57.0,0.9900000560126373,0.004999530451422859,0.3720521844346164,0.05765551469830802,0.0029846360152803245,0.017301608480459942,0.032746699839407784,0.9875933709645774,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
