duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,service_IRC,service_X11,service_Z39_50,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_hostnames,service_http,service_http_443,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_OTH,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,service_http_8001,service_http_2784,service_urh_i,service_aol,service_harvest,service_red_i,y_actual,y_pred
163.0,-162000.0,-255698.0,-0.0,0.0,-0.0,3.0,-0.0,1.0,2.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-1.0,-0.0,0.002738572509751947,0.0009971051762488997,0.03766124567666359,0.005000001476696893,0.9787720599474282,0.018479848660712943,0.005000000760986281,193.0,-42.0,0.954999997442659,0.009999999638964224,0.1550000085335132,-0.0018157990394138523,0.0029846395070655942,0.0013013525087879627,0.005000000758437736,0.03449315466048544,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1,1
5601.0,-101707.0,2603796.0,-0.0,0.0,-0.0,3.0,1.0,1.0,14.0,1.0,-0.0,3.0,4.0,-0.0,1.0,0.0,0.0,-0.0,-1.0,-0.0,0.0027385728022736805,0.0009971048698508545,0.03766123663808883,0.004999998131938212,0.978772145227504,0.018479858539817928,0.0050000002900204695,258.0,139.0,0.9900000013036103,0.034999995553664176,0.41500015980824134,-0.0018158336282649268,0.5350000081039146,1.4573246195457858,0.00499999769651021,0.04986572154719096,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
85.0,-162035.0,-255155.0,-0.0,-0.0,0.0,3.0,1.0,1.0,3.0,1.0,-0.0,2.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-1.0,-0.0,0.002738571577269643,0.0009971028911350671,0.03766123020764455,0.004977488305012525,0.9787720727671851,0.01847985958476961,0.005000000755685625,-1.0,-42.0,0.5500001835344756,0.005000001218331691,0.47968000574500014,-0.0018157903038637862,0.0029846169040405003,0.1250000045633234,0.015000000158965096,0.034493142368992646,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
163.0,-106885.0,2523255.0,-0.0,0.0,2.0,3.0,-0.0,1.0,23.0,1.0,-0.0,2.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-1.0,-0.0,0.002738572499436687,0.0009971049155710712,0.03766125592670517,0.004997835794977306,0.978772065085815,0.018479859649070653,0.005000000543959692,93.0,63.0,0.9900000264862557,0.004999999617344152,0.9950003342583319,0.014999869642395379,0.0029846487518823267,0.001301357611276801,0.004999995756085092,0.054994631061890176,0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1,1
31.0,-162567.0,-305589.0,-0.0,0.0,-0.0,3.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,3.0,-0.0,0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385723791495376,0.0009971055456589398,0.03766121613353225,0.005000000358270409,0.9787726247793258,0.018479858124838197,0.005000000766098202,258.0,14.0,0.03211699937080491,0.0349999994275616,0.004999067412588112,-0.0018157905499606975,0.22560837964309147,0.02000000071379072,0.0050000007580208155,0.03449309859070826,0.0,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1,1
75.0,-162372.0,-255232.0,-0.0,-0.0,-0.0,3.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-1.0,-0.0,0.0027385723380006035,0.000997105077669528,0.03766125650896835,0.0049880288101839835,0.9787720727695446,0.018479859631493265,0.005000000759593612,-1.0,-42.0,0.9549999998119354,0.005000001008793534,0.47968009505266695,-0.0018157905212181783,0.0029846143996955974,0.005000000157718305,0.0050000006345597365,0.034493173841385234,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
93.0,-161858.0,-184468.0,-0.0,0.0,-0.0,3.0,0.0,1.0,1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385652499958856,0.0009971044405825272,0.03766125636918318,0.004999999335606858,0.9787720723693363,0.018479857876556333,0.004999953909126559,258.0,137.0,0.20499958404481114,0.03499997889847423,0.004999615300908876,-0.001815790320166568,0.0029846484984244353,0.004997625735716294,0.005000000499194219,0.02499978224691087,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
105.0,-161273.0,-263612.0,-0.0,0.0,-0.0,3.0,-0.0,1.0,1.0,1.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,-1.0,-0.0,0.0027385723987722525,0.0009971044534568228,0.037661232251703355,0.004999993645949594,0.8749999999877799,0.01847985385520647,0.00500000070470997,-3.0,-42.0,0.9704282705810782,0.009999999645694407,1.3810638278417715,-0.001815827735236304,0.0029846209500676915,0.0013013576554672358,0.005000000736123737,0.034493147264075125,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
30.0,-125452.0,-305589.0,-0.0,0.0,-0.0,3.0,-0.0,1.0,1.0,1.0,-0.0,2.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0027385724858544807,0.0009971050908764638,0.03766122354958581,0.004999998291851165,0.9787720936210492,0.018479863765348308,0.0050000004208967845,-0.0,-41.0,0.5500001046977391,0.005000000964051967,0.7083893961773721,-0.0018157902575348275,0.0029846415884580545,0.005000003968064689,0.005000000716016533,0.03449315209397605,0.0,1.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
210.0,-98285.0,1667029.0,-0.0,0.0,2.0,3.0,-0.0,1.0,1.0,1.0,0.0,3.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-1.0,-0.0,0.002738600001714586,0.00099708663748237,0.03766125381217265,0.03703423482909199,0.8749949211336165,0.07501008464948429,0.005000000532681755,2.0,-39.0,0.9900000240935548,0.004999932898184689,0.41500002745272113,-0.001815791081434664,0.0029846485925335378,0.0013013505238564705,0.0049999986038231645,0.03449315483665441,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1
